9000	0	24	25	0	0	0	1	PCX
9000	1	120	140	0	0	1	1	PCX
8	0	105	53	53	52	2	1	PCX
0	1	92	53	46	52	3	1	PCX
0	2	83	53	42	52	4	1	PCX
8	3	71	52	37	51	5	1	PCX
8	5	74	53	38	52	6	1	PCX
8	6	79	55	40	54	7	1	PCX
8	7	77	56	38	55	8	1	PCX
8	8	86	45	45	44	9	1	PCX
0	10	86	45	45	44	10	1	PCX
0	11	93	46	51	44	10	1	PCX
0	12	144	84	65	82	11	1	PCX
0	13	152	97	79	95	12	1	PCX
0	14	149	120	74	118	13	1	PCX
0	15	187	195	93	194	14	1	PCX
0	16	191	194	95	193	14	1	PCX
0	17	242	207	125	206	15	1	PCX
0	18	308	137	135	135	16	1	PCX
0	19	363	137	153	135	17	1	PCX
0	20	24	56	12	54	18	1	PCX
0	21	24	56	12	54	18	1	PCX
0	22	24	56	12	54	19	1	PCX
0	23	31	56	16	54	20	1	PCX
0	24	38	57	17	55	21	1	PCX
0	25	24	56	12	54	22	1	PCX
0	26	24	56	12	54	23	1	PCX
0	27	24	56	12	54	23	1	PCX
0	28	24	57	12	55	23	1	PCX
0	29	30	57	14	55	23	1	PCX
0	30	27	57	12	56	24	1	PCX
0	31	38	50	24	48	24	1	PCX
0	32	35	51	21	49	24	1	PCX
0	33	37	51	22	49	24	1	PCX
0	34	37	51	22	49	25	1	PCX
0	35	39	49	23	47	26	1	PCX
0	36	23	57	11	56	26	1	PCX
0	37	24	57	11	55	27	1	PCX
0	38	24	57	12	55	28	1	PCX
0	39	24	57	12	55	29	1	PCX
0	40	25	57	12	56	30	1	PCX
0	41	25	56	12	54	31	1	PCX
0	42	24	57	12	55	32	1	PCX
0	43	24	56	12	54	33	1	PCX
9	44	24	57	12	55	34	1	PCX
9	45	28	58	12	56	34	1	PCX
9	46	26	58	12	56	34	1	PCX
0	47	26	58	12	56	35	1	PCX
0	48	29	52	14	52	36	1	PCX
0	49	20	60	10	60	37	1	PCX
